	Item	Quantity	Expiration_Date	Cost_Per_Unit	Date
1538	Jalebi	487	2025-03-17	35	2025-03-14
1539	Soy Sauce	332	2025-05-02	10	2025-03-14
1540	Water	409	2025-04-22	10	2025-03-14
1541	Chocolate Cake	498	2025-03-27	150	2025-03-14
1542	Vanilla Cake	239	2025-03-26	150	2025-03-14
1543	Black Forest Cake	381	2025-03-21	150	2025-03-14
1544	Pineapple Cake	63	2025-03-25	150	2025-03-14
1545	Red Velvet Cake	121	2025-03-26	150	2025-03-14
1546	Milk	67	2025-03-16	45	2025-03-14
1547	Curd	144	2025-03-17	45	2025-03-14
1548	Paneer	122	2025-03-16	45	2025-03-14
1549	Butter	415	2025-03-15	45	2025-03-14
1550	Cheese	467	2025-03-15	45	2025-03-14
1551	Samosa	155	2025-03-22	15	2025-03-14
1552	Kachori	92	2025-03-23	15	2025-03-14
1553	Dhokla	147	2025-03-22	15	2025-03-14
1554	Vada Pav	206	2025-03-21	15	2025-03-14
1555	Pani Puri	335	2025-03-27	15	2025-03-14
1556	Cookies	347	2025-03-22	10	2025-03-14
1557	Masala Puri	160	2025-03-27	15	2025-03-14
1558	Samosa Chaat	496	2025-03-28	15	2025-03-14
1559	Small Mixture	474	2025-03-28	10	2025-03-14
1560	Tomato Ketchup	156	2025-05-12	10	2025-03-14
1561	Milk Bread	476	2025-03-22	20	2025-03-15
1562	Brown Bread	304	2025-03-28	20	2025-03-15
1563	Multigrain Bread	65	2025-03-22	20	2025-03-15
1564	Pav Bun	309	2025-03-22	20	2025-03-15
1565	Plain Cake	203	2025-03-24	150	2025-03-15
1566	Chilli Sauce	370	2025-04-14	10	2025-03-15
1567	Rasgulla	105	2025-03-16	35	2025-03-15
1568	Jalebi	56	2025-03-16	35	2025-03-15
1569	Soy Sauce	221	2025-04-30	10	2025-03-15
1570	Water	189	2025-04-20	10	2025-03-15
1571	Chocolate Cake	80	2025-03-26	150	2025-03-15
1572	Vanilla Cake	367	2025-03-29	150	2025-03-15
1573	Black Forest Cake	154	2025-03-26	150	2025-03-15
1574	Pineapple Cake	109	2025-03-26	150	2025-03-15
1575	Red Velvet Cake	106	2025-03-26	150	2025-03-15
1576	Milk	420	2025-03-16	45	2025-03-15
1577	Curd	457	2025-03-16	45	2025-03-15
1578	Paneer	302	2025-03-18	45	2025-03-15
1579	Butter	380	2025-03-16	45	2025-03-15
1580	Cheese	95	2025-03-18	45	2025-03-15
1581	Samosa	482	2025-03-29	15	2025-03-15
1582	Kachori	380	2025-03-22	15	2025-03-15
1583	Dhokla	351	2025-03-26	15	2025-03-15
1584	Vada Pav	231	2025-03-25	15	2025-03-15
1585	Pani Puri	477	2025-03-26	15	2025-03-15
1586	Cookies	135	2025-03-26	10	2025-03-15
1587	Masala Puri	437	2025-03-29	15	2025-03-15
1588	Samosa Chaat	80	2025-03-26	15	2025-03-15
1589	Small Mixture	469	2025-03-23	10	2025-03-15
1590	Tomato Ketchup	217	2025-04-25	10	2025-03-15
1591	Milk Bread	77	2025-03-29	20	2025-03-16
1592	Brown Bread	450	2025-03-30	20	2025-03-16
1593	Multigrain Bread	400	2025-03-26	20	2025-03-16
1594	Pav Bun	402	2025-03-23	20	2025-03-16
1595	Plain Cake	84	2025-03-23	150	2025-03-16
1596	Chilli Sauce	61	2025-04-28	10	2025-03-16
1597	Rasgulla	492	2025-03-18	35	2025-03-16
1598	Jalebi	82	2025-03-18	35	2025-03-16
1599	Soy Sauce	78	2025-04-19	10	2025-03-16
1600	Water	204	2025-05-12	10	2025-03-16
1601	Chocolate Cake	275	2025-03-23	150	2025-03-16
1602	Vanilla Cake	426	2025-03-25	150	2025-03-16
1603	Black Forest Cake	207	2025-03-25	150	2025-03-16
1604	Pineapple Cake	174	2025-03-30	150	2025-03-16
1605	Red Velvet Cake	88	2025-03-26	150	2025-03-16
1606	Milk	56	2025-03-18	45	2025-03-16
1607	Curd	262	2025-03-18	45	2025-03-16
1608	Paneer	383	2025-03-18	45	2025-03-16
1609	Butter	477	2025-03-17	45	2025-03-16
1610	Cheese	453	2025-03-19	45	2025-03-16
1611	Samosa	443	2025-03-27	15	2025-03-16
1612	Kachori	221	2025-03-30	15	2025-03-16
1613	Dhokla	262	2025-03-27	15	2025-03-16
1614	Vada Pav	108	2025-03-23	15	2025-03-16
1615	Pani Puri	53	2025-03-24	15	2025-03-16
1616	Cookies	488	2025-03-25	10	2025-03-16
1617	Masala Puri	413	2025-03-29	15	2025-03-16
1618	Samosa Chaat	252	2025-03-27	15	2025-03-16
1619	Small Mixture	450	2025-03-25	10	2025-03-16
1620	Tomato Ketchup	115	2025-04-22	10	2025-03-16
1621	Milk Bread	406	2025-03-27	20	2025-03-17
1622	Brown Bread	186	2025-03-24	20	2025-03-17
1623	Multigrain Bread	362	2025-03-26	20	2025-03-17
1624	Pav Bun	352	2025-03-29	20	2025-03-17
1625	Plain Cake	194	2025-03-31	150	2025-03-17
1626	Chilli Sauce	461	2025-05-14	10	2025-03-17
1627	Rasgulla	273	2025-03-18	35	2025-03-17
1628	Jalebi	101	2025-03-18	35	2025-03-17
1629	Soy Sauce	307	2025-04-19	10	2025-03-17
1630	Water	308	2025-05-05	10	2025-03-17
1631	Chocolate Cake	376	2025-03-28	150	2025-03-17
1632	Vanilla Cake	483	2025-03-29	150	2025-03-17
1633	Black Forest Cake	343	2025-03-28	150	2025-03-17
1634	Pineapple Cake	109	2025-03-28	150	2025-03-17
1635	Red Velvet Cake	175	2025-03-28	150	2025-03-17
1636	Milk	473	2025-03-20	45	2025-03-17
1637	Curd	277	2025-03-18	45	2025-03-17
1638	Paneer	311	2025-03-19	45	2025-03-17
1639	Butter	466	2025-03-19	45	2025-03-17
1640	Cheese	158	2025-03-18	45	2025-03-17
1641	Samosa	322	2025-03-26	15	2025-03-17
1642	Kachori	221	2025-03-31	15	2025-03-17
1643	Dhokla	426	2025-03-30	15	2025-03-17
1644	Vada Pav	108	2025-03-24	15	2025-03-17
1645	Pani Puri	378	2025-03-28	15	2025-03-17
1646	Cookies	307	2025-03-26	10	2025-03-17
1647	Masala Puri	67	2025-03-26	15	2025-03-17
1648	Samosa Chaat	417	2025-03-30	15	2025-03-17
1649	Small Mixture	203	2025-03-30	10	2025-03-17
1650	Tomato Ketchup	51	2025-04-21	10	2025-03-17
1651	Milk Bread	248	2025-03-31	20	2025-03-18
1652	Brown Bread	422	2025-03-25	20	2025-03-18
1653	Multigrain Bread	360	2025-03-28	20	2025-03-18
1654	Pav Bun	58	2025-04-01	20	2025-03-18
1655	Plain Cake	393	2025-03-25	150	2025-03-18
1656	Chilli Sauce	145	2025-05-08	10	2025-03-18
1657	Rasgulla	413	2025-03-20	35	2025-03-18
1658	Jalebi	189	2025-03-21	35	2025-03-18
1659	Soy Sauce	442	2025-05-09	10	2025-03-18
1660	Water	254	2025-04-29	10	2025-03-18
1661	Chocolate Cake	111	2025-03-30	150	2025-03-18
1662	Vanilla Cake	206	2025-03-30	150	2025-03-18
1663	Black Forest Cake	475	2025-03-26	150	2025-03-18
1664	Pineapple Cake	369	2025-03-28	150	2025-03-18
1665	Red Velvet Cake	338	2025-04-01	150	2025-03-18
1666	Milk	225	2025-03-19	45	2025-03-18
1667	Curd	353	2025-03-19	45	2025-03-18
1668	Paneer	279	2025-03-19	45	2025-03-18
1669	Butter	106	2025-03-21	45	2025-03-18
1670	Cheese	273	2025-03-21	45	2025-03-18
1671	Samosa	261	2025-03-27	15	2025-03-18
1672	Kachori	80	2025-03-28	15	2025-03-18
1673	Dhokla	433	2025-03-30	15	2025-03-18
1674	Vada Pav	316	2025-03-27	15	2025-03-18
1675	Pani Puri	331	2025-03-27	15	2025-03-18
1676	Cookies	123	2025-03-25	10	2025-03-18
1677	Masala Puri	101	2025-03-26	15	2025-03-18
1678	Samosa Chaat	420	2025-03-25	15	2025-03-18
1679	Small Mixture	293	2025-03-25	10	2025-03-18
1680	Tomato Ketchup	270	2025-05-10	10	2025-03-18
1681	Milk Bread	60	2025-04-02	20	2025-03-19
1682	Brown Bread	144	2025-03-29	20	2025-03-19
1683	Multigrain Bread	409	2025-04-01	20	2025-03-19
1684	Pav Bun	392	2025-03-26	20	2025-03-19
1685	Plain Cake	308	2025-04-02	150	2025-03-19
1686	Chilli Sauce	388	2025-05-10	10	2025-03-19
1687	Rasgulla	231	2025-03-22	35	2025-03-19
1688	Jalebi	146	2025-03-21	35	2025-03-19
1689	Soy Sauce	292	2025-04-27	10	2025-03-19
1690	Water	336	2025-05-10	10	2025-03-19
1691	Chocolate Cake	304	2025-03-30	150	2025-03-19
1692	Vanilla Cake	219	2025-03-26	150	2025-03-19
1693	Black Forest Cake	422	2025-04-02	150	2025-03-19
1694	Pineapple Cake	190	2025-03-30	150	2025-03-19
1695	Red Velvet Cake	365	2025-04-02	150	2025-03-19
1696	Milk	130	2025-03-20	45	2025-03-19
1697	Curd	143	2025-03-20	45	2025-03-19
1698	Paneer	220	2025-03-22	45	2025-03-19
1699	Butter	65	2025-03-22	45	2025-03-19
1700	Cheese	255	2025-03-20	45	2025-03-19
1701	Samosa	246	2025-03-29	15	2025-03-19
1702	Kachori	294	2025-03-26	15	2025-03-19
1703	Dhokla	107	2025-03-31	15	2025-03-19
1704	Vada Pav	211	2025-03-30	15	2025-03-19
1705	Pani Puri	86	2025-03-28	15	2025-03-19
1706	Cookies	428	2025-03-27	10	2025-03-19
1707	Masala Puri	231	2025-04-01	15	2025-03-19
1708	Samosa Chaat	349	2025-03-28	15	2025-03-19
1709	Small Mixture	283	2025-03-26	10	2025-03-19
1710	Tomato Ketchup	84	2025-05-14	10	2025-03-19
1711	Milk Bread	270	2025-03-31	20	2025-03-20
1712	Brown Bread	193	2025-04-03	20	2025-03-20
1713	Multigrain Bread	430	2025-04-03	20	2025-03-20
1714	Pav Bun	190	2025-03-28	20	2025-03-20
1715	Plain Cake	134	2025-04-01	150	2025-03-20
1716	Chilli Sauce	205	2025-05-07	10	2025-03-20
1717	Rasgulla	271	2025-03-21	35	2025-03-20
1718	Jalebi	91	2025-03-22	35	2025-03-20
1719	Soy Sauce	276	2025-04-24	10	2025-03-20
1720	Water	52	2025-04-20	10	2025-03-20
1721	Chocolate Cake	392	2025-03-31	150	2025-03-20
1722	Vanilla Cake	275	2025-03-27	150	2025-03-20
1723	Black Forest Cake	496	2025-03-29	150	2025-03-20
1724	Pineapple Cake	69	2025-04-02	150	2025-03-20
1725	Red Velvet Cake	103	2025-03-28	150	2025-03-20
1726	Milk	66	2025-03-23	45	2025-03-20
1727	Curd	179	2025-03-23	45	2025-03-20
1728	Paneer	165	2025-03-23	45	2025-03-20
1729	Butter	328	2025-03-23	45	2025-03-20
1730	Cheese	130	2025-03-22	45	2025-03-20
1731	Samosa	217	2025-03-28	15	2025-03-20
1732	Kachori	314	2025-03-31	15	2025-03-20
1733	Dhokla	137	2025-03-29	15	2025-03-20
1734	Vada Pav	389	2025-04-03	15	2025-03-20
1735	Pani Puri	320	2025-04-02	15	2025-03-20
1736	Cookies	433	2025-03-31	10	2025-03-20
1737	Masala Puri	128	2025-03-29	15	2025-03-20
1738	Samosa Chaat	195	2025-04-02	15	2025-03-20
1739	Small Mixture	122	2025-04-03	10	2025-03-20
1740	Tomato Ketchup	164	2025-05-06	10	2025-03-20
1741	Milk Bread	408	2025-04-04	20	2025-03-21
1742	Brown Bread	406	2025-03-29	20	2025-03-21
1743	Multigrain Bread	321	2025-03-30	20	2025-03-21
1744	Pav Bun	154	2025-03-28	20	2025-03-21
1745	Plain Cake	125	2025-03-31	150	2025-03-21
1746	Chilli Sauce	242	2025-05-18	10	2025-03-21
1747	Rasgulla	358	2025-03-24	35	2025-03-21
1748	Jalebi	456	2025-03-23	35	2025-03-21
1749	Soy Sauce	290	2025-05-12	10	2025-03-21
1750	Water	167	2025-05-04	10	2025-03-21
1751	Chocolate Cake	420	2025-04-03	150	2025-03-21
1752	Vanilla Cake	328	2025-03-31	150	2025-03-21
1753	Black Forest Cake	251	2025-04-04	150	2025-03-21
1754	Pineapple Cake	349	2025-03-28	150	2025-03-21
1755	Red Velvet Cake	147	2025-04-04	150	2025-03-21
1756	Milk	465	2025-03-23	45	2025-03-21
1757	Curd	377	2025-03-22	45	2025-03-21
1758	Paneer	286	2025-03-24	45	2025-03-21
1759	Butter	50	2025-03-24	45	2025-03-21
1760	Cheese	409	2025-03-23	45	2025-03-21
1761	Samosa	420	2025-04-02	15	2025-03-21
1762	Kachori	219	2025-04-02	15	2025-03-21
1763	Dhokla	177	2025-03-31	15	2025-03-21
1764	Vada Pav	187	2025-04-04	15	2025-03-21
1765	Pani Puri	372	2025-04-02	15	2025-03-21
1766	Cookies	149	2025-03-30	10	2025-03-21
1767	Masala Puri	97	2025-04-02	15	2025-03-21
1768	Samosa Chaat	81	2025-04-03	15	2025-03-21
1769	Small Mixture	98	2025-03-28	10	2025-03-21
1770	Tomato Ketchup	355	2025-04-26	10	2025-03-21
1771	Milk Bread	259	2025-04-01	20	2025-03-22
1772	Brown Bread	416	2025-03-30	20	2025-03-22
1773	Multigrain Bread	370	2025-04-04	20	2025-03-22
1774	Pav Bun	489	2025-04-01	20	2025-03-22
1775	Plain Cake	430	2025-03-29	150	2025-03-22
1776	Chilli Sauce	356	2025-04-30	10	2025-03-22
1777	Rasgulla	187	2025-03-23	35	2025-03-22
1778	Jalebi	247	2025-03-23	35	2025-03-22
1779	Soy Sauce	347	2025-04-25	10	2025-03-22
1780	Water	193	2025-04-24	10	2025-03-22
1781	Chocolate Cake	393	2025-03-30	150	2025-03-22
1782	Vanilla Cake	186	2025-04-03	150	2025-03-22
1783	Black Forest Cake	356	2025-03-31	150	2025-03-22
1784	Pineapple Cake	161	2025-04-05	150	2025-03-22
1785	Red Velvet Cake	162	2025-03-30	150	2025-03-22
1786	Milk	244	2025-03-24	45	2025-03-22
1787	Curd	375	2025-03-23	45	2025-03-22
1788	Paneer	479	2025-03-23	45	2025-03-22
1789	Butter	137	2025-03-24	45	2025-03-22
1790	Cheese	175	2025-03-23	45	2025-03-22
1791	Samosa	238	2025-04-01	15	2025-03-22
1792	Kachori	215	2025-04-01	15	2025-03-22
1793	Dhokla	75	2025-04-02	15	2025-03-22
1794	Vada Pav	432	2025-04-05	15	2025-03-22
1795	Pani Puri	100	2025-04-05	15	2025-03-22
1796	Cookies	443	2025-03-30	10	2025-03-22
1797	Masala Puri	346	2025-04-01	15	2025-03-22
1798	Samosa Chaat	97	2025-04-04	15	2025-03-22
1799	Small Mixture	247	2025-03-31	10	2025-03-22
1800	Tomato Ketchup	445	2025-04-28	10	2025-03-22
1801	Milk Bread	325	2025-04-02	20	2025-03-23
1802	Brown Bread	315	2025-04-06	20	2025-03-23
1803	Multigrain Bread	340	2025-03-30	20	2025-03-23
1804	Pav Bun	347	2025-04-03	20	2025-03-23
1805	Plain Cake	395	2025-03-30	150	2025-03-23
1806	Chilli Sauce	154	2025-05-01	10	2025-03-23
1807	Rasgulla	300	2025-03-24	35	2025-03-23
1808	Jalebi	184	2025-03-24	35	2025-03-23
1809	Soy Sauce	457	2025-04-24	10	2025-03-23
1810	Water	273	2025-05-10	10	2025-03-23
1811	Chocolate Cake	245	2025-03-30	150	2025-03-23
1812	Vanilla Cake	427	2025-03-30	150	2025-03-23
1813	Black Forest Cake	201	2025-03-30	150	2025-03-23
1814	Pineapple Cake	311	2025-03-31	150	2025-03-23
1815	Red Velvet Cake	445	2025-04-03	150	2025-03-23
1816	Milk	325	2025-03-25	45	2025-03-23
1817	Curd	404	2025-03-26	45	2025-03-23
1818	Paneer	406	2025-03-25	45	2025-03-23
1819	Butter	251	2025-03-24	45	2025-03-23
1820	Cheese	66	2025-03-25	45	2025-03-23
1821	Samosa	306	2025-04-03	15	2025-03-23
1822	Kachori	162	2025-04-06	15	2025-03-23
1823	Dhokla	211	2025-04-06	15	2025-03-23
1824	Vada Pav	441	2025-04-01	15	2025-03-23
1825	Pani Puri	159	2025-03-30	15	2025-03-23
1826	Cookies	426	2025-04-04	10	2025-03-23
1827	Masala Puri	226	2025-04-01	15	2025-03-23
1828	Samosa Chaat	299	2025-04-04	15	2025-03-23
1829	Small Mixture	464	2025-04-05	10	2025-03-23
1830	Tomato Ketchup	437	2025-05-11	10	2025-03-23
1831	Milk Bread	361	2025-04-05	20	2025-03-24
1832	Brown Bread	374	2025-04-05	20	2025-03-24
1833	Multigrain Bread	256	2025-04-02	20	2025-03-24
1834	Pav Bun	113	2025-04-03	20	2025-03-24
1835	Plain Cake	492	2025-04-04	150	2025-03-24
1836	Chilli Sauce	252	2025-05-06	10	2025-03-24
1837	Rasgulla	362	2025-03-26	35	2025-03-24
1838	Jalebi	474	2025-03-26	35	2025-03-24
1839	Soy Sauce	310	2025-05-18	10	2025-03-24
1840	Water	341	2025-05-01	10	2025-03-24
1841	Chocolate Cake	309	2025-04-06	150	2025-03-24
1842	Vanilla Cake	492	2025-03-31	150	2025-03-24
1843	Black Forest Cake	265	2025-04-02	150	2025-03-24
1844	Pineapple Cake	366	2025-04-06	150	2025-03-24
1845	Red Velvet Cake	226	2025-04-04	150	2025-03-24
1846	Milk	79	2025-03-26	45	2025-03-24
1847	Curd	169	2025-03-27	45	2025-03-24
1848	Paneer	260	2025-03-27	45	2025-03-24
1849	Butter	474	2025-03-27	45	2025-03-24
1850	Cheese	58	2025-03-26	45	2025-03-24
1851	Samosa	361	2025-04-05	15	2025-03-24
1852	Kachori	457	2025-04-07	15	2025-03-24
1853	Dhokla	277	2025-03-31	15	2025-03-24
1854	Vada Pav	465	2025-04-01	15	2025-03-24
1855	Pani Puri	227	2025-04-06	15	2025-03-24
1856	Cookies	218	2025-04-06	10	2025-03-24
1857	Masala Puri	374	2025-04-07	15	2025-03-24
1858	Samosa Chaat	396	2025-04-01	15	2025-03-24
1859	Small Mixture	64	2025-04-02	10	2025-03-24
1860	Tomato Ketchup	268	2025-05-18	10	2025-03-24
1861	Milk Bread	291	2025-04-04	20	2025-03-25
1862	Brown Bread	383	2025-04-06	20	2025-03-25
1863	Multigrain Bread	449	2025-04-03	20	2025-03-25
1864	Pav Bun	436	2025-04-05	20	2025-03-25
1865	Plain Cake	386	2025-04-04	150	2025-03-25
1866	Chilli Sauce	224	2025-05-21	10	2025-03-25
1867	Rasgulla	279	2025-03-26	35	2025-03-25
1868	Jalebi	373	2025-03-26	35	2025-03-25
1869	Soy Sauce	303	2025-05-08	10	2025-03-25
1870	Water	292	2025-05-21	10	2025-03-25
1871	Chocolate Cake	281	2025-04-08	150	2025-03-25
1872	Vanilla Cake	304	2025-04-02	150	2025-03-25
1873	Black Forest Cake	108	2025-04-05	150	2025-03-25
1874	Pineapple Cake	235	2025-04-01	150	2025-03-25
1875	Red Velvet Cake	188	2025-04-05	150	2025-03-25
1876	Milk	168	2025-03-28	45	2025-03-25
1877	Curd	196	2025-03-26	45	2025-03-25
1878	Paneer	355	2025-03-28	45	2025-03-25
1879	Butter	113	2025-03-26	45	2025-03-25
1880	Cheese	233	2025-03-28	45	2025-03-25
1881	Samosa	101	2025-04-04	15	2025-03-25
1882	Kachori	372	2025-04-04	15	2025-03-25
1883	Dhokla	293	2025-04-07	15	2025-03-25
1884	Vada Pav	51	2025-04-04	15	2025-03-25
1885	Pani Puri	116	2025-04-08	15	2025-03-25
1886	Cookies	419	2025-04-07	10	2025-03-25
1887	Masala Puri	308	2025-04-06	15	2025-03-25
1888	Samosa Chaat	144	2025-04-02	15	2025-03-25
1889	Small Mixture	149	2025-04-03	10	2025-03-25
1890	Tomato Ketchup	170	2025-05-09	10	2025-03-25
1891	Milk Bread	69	2025-04-03	20	2025-03-26
1892	Brown Bread	208	2025-04-08	20	2025-03-26
1893	Multigrain Bread	286	2025-04-04	20	2025-03-26
1894	Pav Bun	100	2025-04-09	20	2025-03-26
1895	Plain Cake	383	2025-04-05	150	2025-03-26
1896	Chilli Sauce	203	2025-05-10	10	2025-03-26
1897	Rasgulla	315	2025-03-29	35	2025-03-26
1898	Jalebi	57	2025-03-28	35	2025-03-26
1899	Soy Sauce	379	2025-05-23	10	2025-03-26
1900	Water	52	2025-05-05	10	2025-03-26
1901	Chocolate Cake	419	2025-04-02	150	2025-03-26
1902	Vanilla Cake	263	2025-04-08	150	2025-03-26
1903	Black Forest Cake	118	2025-04-08	150	2025-03-26
1904	Pineapple Cake	272	2025-04-03	150	2025-03-26
1905	Red Velvet Cake	483	2025-04-09	150	2025-03-26
1906	Milk	181	2025-03-28	45	2025-03-26
1907	Curd	250	2025-03-29	45	2025-03-26
1908	Paneer	142	2025-03-29	45	2025-03-26
1909	Butter	83	2025-03-28	45	2025-03-26
1910	Cheese	326	2025-03-29	45	2025-03-26
1911	Samosa	198	2025-04-08	15	2025-03-26
1912	Kachori	74	2025-04-08	15	2025-03-26
1913	Dhokla	212	2025-04-02	15	2025-03-26
1914	Vada Pav	91	2025-04-04	15	2025-03-26
1915	Pani Puri	285	2025-04-07	15	2025-03-26
1916	Cookies	70	2025-04-05	10	2025-03-26
1917	Masala Puri	272	2025-04-04	15	2025-03-26
1918	Samosa Chaat	326	2025-04-03	15	2025-03-26
1919	Small Mixture	373	2025-04-07	10	2025-03-26
1920	Tomato Ketchup	417	2025-04-29	10	2025-03-26
1921	Milk Bread	88	2025-04-07	20	2025-03-27
1922	Brown Bread	499	2025-04-05	20	2025-03-27
1923	Multigrain Bread	372	2025-04-04	20	2025-03-27
1924	Pav Bun	119	2025-04-07	20	2025-03-27
1925	Plain Cake	399	2025-04-04	150	2025-03-27
1926	Chilli Sauce	76	2025-04-26	10	2025-03-27
1927	Rasgulla	376	2025-03-29	35	2025-03-27
1928	Jalebi	456	2025-03-30	35	2025-03-27
1929	Soy Sauce	130	2025-05-17	10	2025-03-27
1930	Water	489	2025-05-11	10	2025-03-27
1931	Chocolate Cake	73	2025-04-05	150	2025-03-27
1932	Vanilla Cake	430	2025-04-05	150	2025-03-27
1933	Black Forest Cake	369	2025-04-08	150	2025-03-27
1934	Pineapple Cake	162	2025-04-08	150	2025-03-27
1935	Red Velvet Cake	118	2025-04-03	150	2025-03-27
1936	Milk	497	2025-03-28	45	2025-03-27
1937	Curd	74	2025-03-30	45	2025-03-27
1938	Paneer	365	2025-03-28	45	2025-03-27
1939	Butter	148	2025-03-29	45	2025-03-27
1940	Cheese	302	2025-03-30	45	2025-03-27
1941	Samosa	202	2025-04-04	15	2025-03-27
1942	Kachori	460	2025-04-10	15	2025-03-27
1943	Dhokla	207	2025-04-05	15	2025-03-27
1944	Vada Pav	216	2025-04-03	15	2025-03-27
1945	Pani Puri	219	2025-04-04	15	2025-03-27
1946	Cookies	455	2025-04-03	10	2025-03-27
1947	Masala Puri	463	2025-04-03	15	2025-03-27
1948	Samosa Chaat	472	2025-04-06	15	2025-03-27
1949	Small Mixture	264	2025-04-07	10	2025-03-27
1950	Tomato Ketchup	87	2025-05-11	10	2025-03-27
1951	Milk Bread	399	2025-04-05	20	2025-03-28
1952	Brown Bread	416	2025-04-09	20	2025-03-28
1953	Multigrain Bread	184	2025-04-08	20	2025-03-28
1954	Pav Bun	241	2025-04-04	20	2025-03-28
1955	Plain Cake	262	2025-04-07	150	2025-03-28
1956	Chilli Sauce	439	2025-05-24	10	2025-03-28
1957	Rasgulla	69	2025-03-29	35	2025-03-28
1958	Jalebi	499	2025-03-31	35	2025-03-28
1959	Soy Sauce	98	2025-05-10	10	2025-03-28
1960	Water	409	2025-05-24	10	2025-03-28
1961	Chocolate Cake	219	2025-04-08	150	2025-03-28
1962	Vanilla Cake	499	2025-04-04	150	2025-03-28
1963	Black Forest Cake	163	2025-04-05	150	2025-03-28
1964	Pineapple Cake	395	2025-04-11	150	2025-03-28
1965	Red Velvet Cake	287	2025-04-07	150	2025-03-28
1966	Milk	210	2025-03-30	45	2025-03-28
1967	Curd	253	2025-03-30	45	2025-03-28
1968	Paneer	196	2025-03-29	45	2025-03-28
1969	Butter	138	2025-03-29	45	2025-03-28
1970	Cheese	178	2025-03-29	45	2025-03-28
1971	Samosa	131	2025-04-06	15	2025-03-28
1972	Kachori	235	2025-04-11	15	2025-03-28
1973	Dhokla	333	2025-04-11	15	2025-03-28
1974	Vada Pav	152	2025-04-06	15	2025-03-28
1975	Pani Puri	225	2025-04-08	15	2025-03-28
1976	Cookies	410	2025-04-10	10	2025-03-28
1977	Masala Puri	316	2025-04-06	15	2025-03-28
1978	Samosa Chaat	68	2025-04-08	15	2025-03-28
1979	Small Mixture	113	2025-04-05	10	2025-03-28
1980	Tomato Ketchup	282	2025-04-27	10	2025-03-28
1981	Milk Bread	218	2025-04-08	20	2025-03-29
1982	Brown Bread	50	2025-04-05	20	2025-03-29
1983	Multigrain Bread	279	2025-04-05	20	2025-03-29
1984	Pav Bun	170	2025-04-11	20	2025-03-29
1985	Plain Cake	168	2025-04-12	150	2025-03-29
1986	Chilli Sauce	149	2025-05-17	10	2025-03-29
1987	Rasgulla	144	2025-03-30	35	2025-03-29
1988	Jalebi	84	2025-03-30	35	2025-03-29
1989	Soy Sauce	258	2025-05-05	10	2025-03-29
1990	Water	194	2025-05-09	10	2025-03-29
1991	Chocolate Cake	368	2025-04-05	150	2025-03-29
1992	Vanilla Cake	197	2025-04-12	150	2025-03-29
1993	Black Forest Cake	413	2025-04-05	150	2025-03-29
1994	Pineapple Cake	288	2025-04-05	150	2025-03-29
1995	Red Velvet Cake	73	2025-04-07	150	2025-03-29
1996	Milk	397	2025-04-01	45	2025-03-29
1997	Curd	248	2025-03-31	45	2025-03-29
1998	Paneer	290	2025-04-01	45	2025-03-29
1999	Butter	315	2025-03-30	45	2025-03-29
2000	Cheese	141	2025-03-31	45	2025-03-29
2001	Samosa	391	2025-04-07	15	2025-03-29
2002	Kachori	67	2025-04-06	15	2025-03-29
2003	Dhokla	267	2025-04-08	15	2025-03-29
2004	Vada Pav	113	2025-04-10	15	2025-03-29
2005	Pani Puri	237	2025-04-11	15	2025-03-29
2006	Cookies	203	2025-04-06	10	2025-03-29
2007	Masala Puri	476	2025-04-06	15	2025-03-29
2008	Samosa Chaat	314	2025-04-07	15	2025-03-29
2009	Small Mixture	96	2025-04-08	10	2025-03-29
2010	Tomato Ketchup	453	2025-05-19	10	2025-03-29
2011	Milk Bread	395	2025-04-07	20	2025-03-30
2012	Brown Bread	170	2025-04-07	20	2025-03-30
2013	Multigrain Bread	381	2025-04-12	20	2025-03-30
2014	Pav Bun	55	2025-04-06	20	2025-03-30
2015	Plain Cake	478	2025-04-13	150	2025-03-30
2016	Chilli Sauce	239	2025-05-27	10	2025-03-30
2017	Rasgulla	368	2025-04-01	35	2025-03-30
2018	Jalebi	494	2025-04-01	35	2025-03-30
2019	Soy Sauce	257	2025-05-23	10	2025-03-30
2020	Water	180	2025-05-11	10	2025-03-30
2021	Chocolate Cake	129	2025-04-12	150	2025-03-30
2022	Vanilla Cake	266	2025-04-12	150	2025-03-30
2023	Black Forest Cake	291	2025-04-06	150	2025-03-30
2024	Pineapple Cake	116	2025-04-10	150	2025-03-30
2025	Red Velvet Cake	417	2025-04-12	150	2025-03-30
2026	Milk	101	2025-03-31	45	2025-03-30
2027	Curd	232	2025-04-01	45	2025-03-30
2028	Paneer	189	2025-04-01	45	2025-03-30
2029	Butter	406	2025-04-02	45	2025-03-30
2030	Cheese	186	2025-04-01	45	2025-03-30
2031	Samosa	498	2025-04-13	15	2025-03-30
2032	Kachori	443	2025-04-13	15	2025-03-30
2033	Dhokla	482	2025-04-10	15	2025-03-30
2034	Vada Pav	76	2025-04-10	15	2025-03-30
2035	Pani Puri	170	2025-04-09	15	2025-03-30
2036	Cookies	59	2025-04-06	10	2025-03-30
2037	Masala Puri	495	2025-04-12	15	2025-03-30
2038	Samosa Chaat	298	2025-04-09	15	2025-03-30
